,msg,hash,date_rel,date_abs
0,langchain-tests @1.0.2 uses `blockbuster` but fails to declare the dependency in pyproject.toml,#34110,2 days ago,2025-11-27
1,ChatOpenAI封装本地vllm服务链式调用出错,#34067,3 days ago,2025-11-26
2,DOC: <Issue related to /docs/tutorials/chatbot/> 文档代码错误,#34099,3 days ago,2025-11-26
3,"When tools are bound in the `create_agent` function, the deepseek-reasoner model cannot return `reasoning_content`.",#34082,3 days ago,2025-11-26
4,Add TOON (Token Oriented Object Notation) support,#34059,4 days ago,2025-11-25
5,PydanticOutputParser formats error with ensure_ascii=True,#34005,last week,2025-11-22
6,mistral alias to mistralai not computing the proper model name,#34007,last week,2025-11-22
7,TypeError in `TestAnthropicStandard.test_with_structured_output[PersonB]`: `'ModelMetaclass' object is not a mapping`,#34069,last week,2025-11-22
8,Errors regarding the use of the tool,#34045,last week,2025-11-22
9,Add `ModelRetryMiddleware` for fine-grained control for LLM retries in agents created via `create_agent`,#33983,last week,2025-11-22
10,Disable parallel tool calls in `create_agent()`,#34010,last week,2025-11-22
11,Handoff Release?,#34016,last week,2025-11-22
12,ImportError: InjectedState not found in langgraph.prebuilt when importing create_agent (LangChain 1.0.7),#34004,last week,2025-11-22
13,"LangChain v1: create_agent returns only AIMessage when using` async for event in agent.astream`, no AIMessageChunk",#34017,last week,2025-11-22
14,BaseChatOpenAI handles temperature removal only for lower case names of reasoning models,#34003,2 weeks ago,2025-11-15
15,state is not being injected when using custom input schema on tool,#31688,2 weeks ago,2025-11-15
16,runtime is not passed to tool function if the args_schema is defined with Pydantic BaseModel,#33646,2 weeks ago,2025-11-15
17,create_agent 'name' always None,#33754,2 weeks ago,2025-11-15
18,ModelRequest system_prompt wrong type,#34002,2 weeks ago,2025-11-15
19,Anthropic structured output,#33977,2 weeks ago,2025-11-15
20,A question from the official documentation of LangChainV1.0,#33990,2 weeks ago,2025-11-15
21,"openai: `OpenAIEmbeddings` does not respect token limits, causes 400 BadRequest",#31227,2 weeks ago,2025-11-15
22,langchain: ShellToolMiddleware breaks with HIL,#33684,2 weeks ago,2025-11-15
23,"_generate_response_from_error() raises ResponseNotRead, masking original exceptions",#33514,2 weeks ago,2025-11-15
24,Agent with Checkpointer Reuses Tool Results in Multi-Turn Conversations,#33936,2 weeks ago,2025-11-15
25,"In asynchronous generators, yield causes tokens to fail to be sent properly in Python 3.10.",#33908,2 weeks ago,2025-11-15
26,gemini api can‘t use await agent.ainvoke,#33849,2 weeks ago,2025-11-15
27,"docs: Suggest expanding ""Why use LangChain?"" section in README",#33790,2 weeks ago,2025-11-15
28,[v1-alpha] Audio content blocks not converted to provider-specific format for OpenAI,#33395,2 weeks ago,2025-11-15
29,cannot initialize embedding model using langchain-ollama after update,#33138,2 weeks ago,2025-11-15
30,"`ChatOpenAI` can now accept a callable for `api_key`, not just a string",#33051,2 weeks ago,2025-11-15
