,msg,hash,date_rel,date_abs
0,fix(core): add re-entrancy guard to `RootListenersTracer` to prevent recursive listener invocations,#33745,on Oct 30,2025-11-01
1,feat(core): automatically count and store meta for tool call count,#33756,last month,2025-11-01
2,fix(langchain): set agent name on `AIMessage` responses when name parameter is provided,#33778,28 days ago,2025-11-01
3,fix(langchain): initialize variables in `_fetch_last_ai_and_tool_messages`,#33785,27 days ago,2025-11-02
4,fix(langchain): `init_chat_model` for Hugging Face models,#33786,27 days ago,2025-11-02
5,fix(langchain): ensure HITL middleware edit decisions persist in agent state,#33789,27 days ago,2025-11-02
6,fix(anthropic): handle runtime model fallback in caching middleware,#33850,3 weeks ago,2025-11-08
7,fix(anthropic): clean up `cache_control` in middleware to prevent fallback errors,#33894,3 weeks ago,2025-11-08
8,feat(langchain): add openrouter provider(#33643),#33902,3 weeks ago,2025-11-08
9,fix: astream is not sending token in python 3.10,#33907,3 weeks ago,2025-11-08
10,feat: Support Sequential State Propagation for Batch Tool Calls,#33911,3 weeks ago,2025-11-08
11,fix(core): strip message IDs from cache keys using model_copy,#33915,3 weeks ago,2025-11-08
12,feat(core): Implement AgentRuntime with metadata and state tracking,#33921,3 weeks ago,2025-11-08
13,feat(core): Capture raw provider response,#33922,3 weeks ago,2025-11-08
14,feat(text-splitters): add R programming language support,#33931,3 weeks ago,2025-11-08
15,fix(core): Resolve 'FieldInfo is not JSON serializable' error in Pydantic v2,#33932,3 weeks ago,2025-11-08
16,fix(langchain-classic): fix init_chat_model for HuggingFace models,#33943,2 weeks ago,2025-11-15
17,feat(xai): Add comprehensive tests and docs for agentic tool calling API,#33967,2 weeks ago,2025-11-15
18,refactor(standard-tests): improve VCR config,#33968,2 weeks ago,2025-11-15
19,[WIP]: Fix MCP Playwright browser session termination issue by implementing stateful session management wrapper,#33971,2 weeks ago,2025-11-15
20,fix(core): `get_buffer_string` to support modern `tool_calls`,#33984,2 weeks ago,2025-11-15
21,refactor(core): improved typing (WIP),#33985,2 weeks ago,2025-11-15
22,feat: add middleware dependency resolution,#33987,2 weeks ago,2025-11-15
